report_date,client_id,col1454,col2174,col2182,col2190,col2220,col2221,col2222,col2292,col2293,col2294,col2316,col2317,col2318,col2340,col2341,col2342,col2366,col2388,col2389,col2390,col2470,col2663
2022-11-01,1,00f3d719-a6ec-4960-ba01-8372eb705443,3.0,1.0,1.0,6656046.7,10000.0,2231015.56666667,15.0,15.0,15.0,179564.0,179564.0,179564.0,6801884.32,6801884.32,6801884.32,1.0,37.88,37.88,37.88,545.0,0.2562613816564786
2022-11-01,2,01016bd5-10dc-ec11-b823-005056b825cd,3.0,1.0,1.0,6564363.2,10000.0,2198121.06666667,5.0,5.0,5.0,192567.0,192567.0,192567.0,5794341.03,5794341.03,5794341.03,1.0,30.09,30.09,30.09,152.0,0.2569190620677391
2022-11-01,5,01febac0-b083-494e-8589-f98400074b94,6.0,2.0,2.0,8193703.78,5000.0,1420568.84333333,4.0,3.0,3.5,204857.0,95379.0,150118.0,7938208.75,318565.86,4128387.305,1.0,38.75,3.34,21.045,242.0,0.2562613816564786
2022-05-01,6,0278175e-c0bb-4e1e-bfe5-20db6811d3e2,2.0,1.0,1.0,6652297.58,10500.0,3331398.79,16.0,16.0,16.0,190542.0,190542.0,190542.0,7002418.5,7002418.5,7002418.5,1.0,36.75,36.75,36.75,557.0,0.2562613816564786
2022-09-01,7,0364571d-5325-ed11-b823-005056b825cd,1.0,1.0,0.0,10000.0,10000.0,10000.0,8.0,8.0,8.0,232846.0,232846.0,232846.0,8280003.76,8280003.76,8280003.76,1.0,35.56,35.56,35.56,60.0,0.2586817645046357
2022-08-01,8,065957a6-9b2a-435a-b561-024e9e8d9ad7,3.0,1.0,1.0,9303610.11,27000.0,3126870.03666667,24.0,24.0,24.0,172907.0,172907.0,172907.0,9426889.64,9426889.64,9426889.64,2.0,54.52,54.52,54.52,256.0,0.2541642972029413
2023-02-01,10,07ca8162-5b7d-ed11-b824-005056b89b68,3.0,1.0,1.0,12389002.23,30000.0,4149667.41,4.0,4.0,4.0,397379.0,397379.0,397379.0,10570281.4,10570281.4,10570281.4,1.0,26.6,26.6,26.6,31.0,0.3189938134633118
2022-12-01,14,0a033230-3889-4239-8900-0ffb7e48958c,3.0,1.0,1.0,9649462.8,10000.0,3226487.6,14.0,14.0,14.0,263345.0,263345.0,263345.0,9756932.25,9756932.25,9756932.25,1.0,37.05,37.05,37.05,300.0,0.2573476190144638
2022-01-01,15,0a134af3-05d2-4470-a5fd-55b1473f8b61,3.0,1.0,1.0,9929930.05,10000.0,3322310.01666667,3.0,3.0,3.0,166488.0,166488.0,166488.0,9040298.4,9040298.4,9040298.4,2.0,54.3,54.3,54.3,65.0,0.2567183659523679
2022-11-01,16,0a154951-7e02-47d2-8d3d-480d0c84c206,6.0,2.0,2.0,5352066.73,5000.0,930853.63166667,2.0,-1.0,0.5,160165.0,88847.0,124506.0,5697069.05,223005.97,2960037.51,1.0,35.57,2.51,19.04,336.0,0.2588532073038523
2023-01-01,17,0aed31ac-cbe2-42cb-af39-8470ad01e8a4,4.0,0.0,2.0,4762627.2,20000.0,1262186.8,2.0,-2.0,0.0,79600.0,64000.0,71800.0,5291808.0,229120.0,2760464.0,3.0,66.48,3.58,35.03,1972.0,0.2562613816564786
2023-01-01,18,0b08a6bb-42f5-ec11-b822-005056b8a6d9,10.0,4.0,3.0,32645839.48,5000.0,6582672.665,22.0,21.0,21.9,359263.0,210660.0,314548.2,37004089.0,947970.0,26173461.6,4.0,103.0,4.5,73.45,68.0,0.2662850701762395
2022-02-01,19,0b498e8a-7c01-466d-b112-0c5785574f45,3.0,1.0,1.0,8093020.24,10000.0,2710006.74666667,22.0,22.0,22.0,138777.0,138777.0,138777.0,8351599.86,8351599.86,8351599.86,2.0,60.18,60.18,60.18,364.0,0.2562613816564786
2022-02-01,21,0c6cc76e-bd09-4eec-b4c8-4ef642923b06,3.0,1.0,2.0,6014369.67,10000.0,4012913.11333333,1.0,1.0,1.0,121858.0,121858.0,121858.0,6604703.6,6604703.6,6604703.6,2.0,55.49,55.49,55.49,,0.2562613816564786
2022-12-01,22,0d4ec1c7-914f-ed11-b824-005056b89b68,9.0,3.0,3.0,6143890.45,10000.0,1997617.52666667,16.0,7.0,11.333333333333334,193677.0,182143.0,188581.0,5211487.12,4524432.12,4921903.64333333,1.0,27.44,24.84,26.08333333333333,27.0,0.25820859661998
2023-01-01,23,0d92e8bb-7312-ed11-b824-005056b89b68,3.0,1.0,1.0,8579465.83,10000.0,2869821.94333333,2.0,2.0,2.0,179078.0,179078.0,179078.0,7290265.38,7290265.38,7290265.38,1.0,40.71,40.71,40.71,130.0,0.2584471777589903
2022-12-01,24,0ed64779-4334-4018-8b29-8ac3ad4353e0,2.0,1.0,1.0,13618757.58,50000.0,6834378.79,8.0,8.0,8.0,169153.0,169153.0,169153.0,14087061.84,14087061.84,14087061.84,3.0,83.28,83.28,83.28,433.0,0.2683644078109473
2022-12-01,25,0f4a91d4-23f6-4745-9461-60d5cbf276ba,4.0,3.0,1.0,8341214.69,10000.0,2092803.6725,10.0,7.0,9.25,249597.0,196488.0,219071.25,16895220.93,8784684.0,11941215.4125,1.5,67.69,40.84,54.265,423.0,0.2562613816564786
2022-11-01,26,0fe93355-5c69-455c-b7f5-b29f4b4db275,3.0,1.0,1.0,6981392.62,10000.0,2339464.20666667,11.0,11.0,11.0,192539.0,192539.0,192539.0,6885194.64,6885194.64,6885194.64,1.0,35.76,35.76,35.76,412.0,0.2556113676384911
2023-02-01,27,101472b3-875b-428d-bcc2-21a30f13f124,7.0,2.0,2.0,18316750.5,5000.0,3140760.415,4.0,-1.0,1.8571428571428568,298869.0,82871.0,206298.42857143,20361944.97,535346.66,11864831.40857143,3.0,68.13,6.46,41.7,340.0,0.2569190620677391
2022-09-01,28,1071b34a-8ae6-40cf-96f2-328155d43be4,2.0,1.0,1.0,5244644.1,10500.0,2627572.05,10.0,10.0,10.0,183900.0,183900.0,183900.0,5520678.0,5520678.0,5520678.0,1.0,30.02,30.02,30.02,688.0,0.2562613816564786
